Date,USIM5.SA
2015-09-22,3.063485622406006
2015-09-23,2.593385696411133
2015-09-24,2.773590326309204
2015-09-25,2.6717352867126465
2015-09-28,2.679570436477661
2015-09-29,2.687405586242676
2015-09-30,2.624725818634033
2015-10-01,2.4445204734802246
2015-10-02,2.475860834121704
2015-10-05,2.585550546646118
2015-10-06,2.6012203693389893
2015-10-07,2.6560661792755127
2015-10-08,2.875445604324341
2015-10-09,2.9224555492401123
2015-10-13,2.585550546646118
2015-10-14,2.585550546646118
2015-10-15,2.6325607299804688
2015-10-16,2.609055757522583
2015-10-19,2.515035629272461
2015-10-20,2.43668532371521
2015-10-21,2.3583359718322754
2015-10-22,2.4053456783294678
2015-10-23,2.4053456783294678
2015-10-26,2.381840705871582
2015-10-27,2.381840705871582
2015-10-28,2.2799859046936035
