Date,VALE3.SA
2015-10-01,9.279627799987793
2015-10-02,9.602960586547852
2015-10-05,9.775403022766113
2015-10-06,9.867013931274414
2015-10-07,10.858564376831055
2015-10-08,10.810066223144531
2015-10-09,11.203453063964844
2015-10-13,10.012514114379883
2015-10-14,10.077181816101074
2015-10-15,10.222678184509277
2015-10-16,10.125717163085938
2015-10-19,9.784893989562988
2015-10-20,9.680450439453125
2015-10-21,9.944310188293457
2015-10-22,10.175188064575195
2015-10-23,10.224661827087402
2015-10-26,9.817877769470215
2015-10-27,9.361614227294922
2015-10-28,9.108745574951172
2015-10-29,8.872369766235352
2015-10-30,9.378105163574219
2015-11-03,9.75740909576416
2015-11-04,9.565010070800781
2015-11-05,9.31763744354248
2015-11-06,8.614006042480469
2015-11-09,8.487571716308594
