Date,MGLU3.SA
2015-09-17,0.650177538394928
2015-09-18,0.5874415040016174
2015-09-21,0.5703318119049072
2015-09-22,0.5446668863296509
2015-09-23,0.5418151021003723
2015-09-24,0.5560730695724487
2015-09-25,0.5361115336418152
2015-09-28,0.5132983326911926
2015-09-29,0.507594883441925
2015-09-30,0.5132983326911926
2015-10-01,0.4687412679195404
2015-10-02,0.46339377760887146
2015-10-05,0.4990394413471222
2015-10-06,0.5172194838523865
2015-10-07,0.5546476244926453
2015-10-08,0.5696186423301697
2015-10-09,0.5493001341819763
2015-10-13,0.496544748544693
2015-10-14,0.48299914598464966
2015-10-15,0.47943514585494995
2015-10-16,0.46089914441108704
2015-10-19,0.45448243618011475
2015-10-20,0.4455709755420685
2015-10-21,0.4277482032775879
2015-10-22,0.4277482032775879
