Date,WEGE3.SA
2015-09-29,5.087392807006836
2015-09-30,5.070982933044434
2015-10-01,5.215400218963623
2015-10-02,5.363099098205566
2015-10-05,5.494384765625
2015-10-06,5.481256008148193
2015-10-07,5.52720832824707
2015-10-08,5.333558082580566
2015-10-09,5.238375663757324
2015-10-13,5.363099098205566
2015-10-14,5.300738334655762
2015-10-15,5.3138651847839355
2015-10-16,5.2515034675598145
2015-10-19,5.221961498260498
2015-10-20,5.2350921630859375
2015-10-21,5.139908790588379
2015-10-22,5.2022705078125
2015-10-23,5.2022705078125
2015-10-26,5.136627197265625
2015-10-27,5.123497486114502
2015-10-28,4.975799560546875
2015-10-29,4.769021511077881
2015-10-30,4.726353645324707
2015-11-03,4.723071575164795
2015-11-04,4.716506481170654
2015-11-05,5.051288604736328
