Date,TAEE11.SA
2015-09-29,7.468669891357422
2015-09-30,7.628683567047119
2015-10-01,7.504673480987549
2015-10-02,7.7606940269470215
2015-10-05,7.940710067749023
2015-10-06,8.060724258422852
2015-10-07,8.108726501464844
2015-10-08,8.18873405456543
2015-10-09,8.41275405883789
2015-10-13,8.340749740600586
2015-10-14,8.380751609802246
2015-10-15,8.224739074707031
2015-10-16,8.380751609802246
2015-10-19,8.112726211547852
2015-10-20,7.920710563659668
2015-10-21,7.84070348739624
2015-10-22,7.960714817047119
2015-10-23,7.968717098236084
2015-10-26,7.940710067749023
2015-10-27,8.000717163085938
2015-10-28,7.924711227416992
2015-10-29,7.704691410064697
2015-10-30,7.960714817047119
2015-11-03,8.020719528198242
2015-11-04,8.140728950500488
2015-11-05,8.176733016967773
2015-11-06,7.880705833435059
